id,name,dateOfBirth,role,battingStyle,bowlingStyle,country,playerImg,team
"C87A375E-2731-405D-A30E-3B99C06F614E","Zakary Foulkes","2002-06-05T00:00:00","Bowling Allrounder","Right Handed Bat","Right-arm medium","New Zealand","https://h.cricapi.com/img/icon512.png","Chennai Super Kings"
"7D053D4E-A735-4C96-BB98-4098DEE523DF","Akeal Hosein","1993-04-25T00:00:00","Bowler","Left Handed Bat","Left-arm orthodox","West Indies","https://h.cricapi.com/img/players/7d053d4e-a735-4c96-bb98-4098dee523df.jpg","Chennai Super Kings"
"C553C840-D84C-4A9F-A714-406FFE44F1E9","Gurjapneet Singh","1998-11-08T00:00:00","Bowler","Right Handed Bat","Left-arm fast-medium","India","https://h.cricapi.com/img/icon512.png","Chennai Super Kings"
"B55E1386-231C-4D40-9F6A-4D5A9512079C","Matthew Short","1995-11-08T00:00:00","Batsman","Right Handed Bat","Right-arm offbreak","Australia","https://h.cricapi.com/img/players/b55e1386-231c-4d40-9f6a-4d5a9512079c.jpg","Chennai Super Kings"
"B6E7AA41-B0BB-4B0F-8F59-59F729283BE5","MS Dhoni","1981-07-07T00:00:00","WK-Batsman","Right Handed Bat","Right-arm medium","India","https://h.cricapi.com/img/players/b6e7aa41-b0bb-4b0f-8f59-59f729283be5.jpg","Chennai Super Kings"
"FB46A43C-3DEB-489D-8641-5D1744DFBF81","Prashant Veer","2005-11-24T00:00:00","Bowler","Left Handed Bat","Left-arm orthodox","India","https://h.cricapi.com/img/icon512.png","Chennai Super Kings"
"DC2F7F59-CE15-48AA-B7D9-793314961076","Mukesh Choudhary","1996-07-06T00:00:00","Bowler","Left Handed Bat","Left-arm fast-medium","India","https://h.cricapi.com/img/icon512.png","Chennai Super Kings"
"CBE808DA-727A-4D9C-B3BE-6EB431217483","Anshul Kamboj","2000-12-06T00:00:00","Bowling Allrounder","Right Handed Bat","Right-arm fast-medium","India","https://h.cricapi.com/img/icon512.png","Chennai Super Kings"
"679F3D10-AC62-4F5B-89B2-7010935B9985","Ayush Mhatre","2007-07-16T00:00:00","Batsman","Right Handed Bat","Right-arm offbreak","India","https://h.cricapi.com/img/icon512.png","Chennai Super Kings"
"D774ADAF-78F0-4BF3-965E-8182C05B4517","Rahul Chahar","1999-08-04T00:00:00","Bowler","Right Handed Bat","Right-arm legbreak","India","https://h.cricapi.com/img/players/d774adaf-78f0-4bf3-965e-8182c05b4517.jpg","Chennai Super Kings"
"EC1B806B-DE33-4B79-B3BA-8A5AD78DF163","Sarfaraz Khan","1997-10-22T00:00:00","Batsman","Right Handed Bat","Right-arm legbreak","India","https://h.cricapi.com/img/players/ec1b806b-de33-4b79-b3ba-8a5ad78df163.jpg","Chennai Super Kings"
"36E929D1-32F1-4D41-96C2-7DF1364D0BAB","Matt Henry","1991-12-14T00:00:00","Bowler","Right Handed Bat","Right-arm fast-medium","New Zealand","https://h.cricapi.com/img/players/36e929d1-32f1-4d41-96c2-7df1364d0bab.jpg","Chennai Super Kings"
"14A56D48-499A-4B03-AA0F-BD3F592E9D94","Dewald Brevis","2003-04-29T00:00:00","Batsman","Right Handed Bat","Right-arm legbreak","South Africa","https://h.cricapi.com/img/players/14a56d48-499a-4b03-aa0f-bd3f592e9d94.jpg","Chennai Super Kings"
"50B70C71-1535-41C0-87FD-C12883105EDE","Ruturaj Gaikwad","1997-01-31T00:00:00","Batsman","Right Handed Bat","Right-arm offbreak","India","https://h.cricapi.com/img/players/50b70c71-1535-41c0-87fd-c12883105ede.jpg","Chennai Super Kings"
"0284AF4F-D4EB-4894-BACC-A468C1020951","Spencer Johnson","1995-12-16T00:00:00","Bowler","Left Handed Bat","Left-arm fast","Australia","https://h.cricapi.com/img/icon512.png","Chennai Super Kings"
"34AE4DDE-3EC7-48A7-A2C1-D4E55122FF68","Urvil Patel","1998-10-17T00:00:00","WK-Batsman","Right Handed Bat","","India","https://h.cricapi.com/img/icon512.png","Chennai Super Kings"
"3CBC5A08-62AF-4CA5-B709-C7712DB6E8B6","Noor Ahmad","2005-01-03T00:00:00","Bowler","Right Handed Bat","Left-arm wrist-spin","Afghanistan","https://h.cricapi.com/img/players/3cbc5a08-62af-4ca5-b709-c7712db6e8b6.jpg","Chennai Super Kings"
"22EE45D8-0538-4E3E-A758-C515F9B86D11","Shivam Dube","1993-06-26T00:00:00","Batting Allrounder","Left Handed Bat","Right-arm medium","India","https://h.cricapi.com/img/players/22ee45d8-0538-4e3e-a758-c515f9b86d11.jpg","Chennai Super Kings"
"8DF6183B-1C95-46D2-85C0-E185792D03F1","Khaleel Ahmed","1997-12-05T00:00:00","Bowler","Right Handed Bat","Left-arm fast-medium","India","https://h.cricapi.com/img/players/8df6183b-1c95-46d2-85c0-e185792d03f1.jpg","Chennai Super Kings"
"35ED1B20-38F3-4013-BE2E-DC28FFBECFD6","Sanju Samson","1994-11-11T00:00:00","WK-Batsman","Right Handed Bat","","India","https://h.cricapi.com/img/players/35ed1b20-38f3-4013-be2e-dc28ffbecfd6.jpg","Chennai Super Kings"
"F63EB69E-F17E-4D88-BF2B-D91AF645C52C","Ramakrishna Ghosh","1997-08-28T00:00:00","Batting Allrounder","Right Handed Bat","Right-arm fast-medium","India","https://h.cricapi.com/img/icon512.png","Chennai Super Kings"
"A9897A50-1497-4912-8899-E67898F87F82","Kartik Sharma","2006-04-26T00:00:00","WK-Batsman","Right Handed Bat","Right-arm offbreak","India","https://h.cricapi.com/img/icon512.png","Chennai Super Kings"
"6731DB45-8132-49C6-8FCB-F59258D15082","Nathan Ellis","1994-09-22T00:00:00","Bowler","Right Handed Bat","Right-arm fast-medium","Australia","https://h.cricapi.com/img/players/6731db45-8132-49c6-8fcb-f59258d15082.jpg","Chennai Super Kings"
"81B446E1-BFEA-45A7-A15E-062B8157A323","Ravindra Jadeja","1988-12-06T00:00:00","Bowling Allrounder","Left Handed Bat","Left-arm orthodox","India","https://h.cricapi.com/img/players/81b446e1-bfea-45a7-a15e-062b8157a323.jpg","Rajasthan Royals"
"3545D689-5166-440E-9EAF-1409E554A547","Nandre Burger","1995-08-11T00:00:00","Bowler","Left Handed Bat","Left-arm fast-medium","South Africa","https://h.cricapi.com/img/icon512.png","Rajasthan Royals"
"CDACD831-24FC-4AA3-94C5-0882BFAEC018","Yash Raj Punja","","--","Left Handed Bat","","India","https://h.cricapi.com/img/icon512.png","Rajasthan Royals"
"0F5502AA-40C8-43C6-A38F-1496000BD5B6","Vaibhav Sooryavanshi","2011-03-27T00:00:00","Batsman","Left Handed Bat","Left-arm orthodox","India","https://h.cricapi.com/img/icon512.png","Rajasthan Royals"
"9A71201C-C377-45AA-A355-1AF6D2C4BAE3","Ravi Bishnoi","2000-09-05T00:00:00","Bowler","Right Handed Bat","Right-arm legbreak","India","https://h.cricapi.com/img/players/9a71201c-c377-45aa-a355-1af6d2c4bae3.jpg","Rajasthan Royals"
"4269D64C-962D-4CD9-B2D2-1A62F51256B8","Shimron Hetmyer","1996-12-26T00:00:00","Batsman","Left Handed Bat","","West Indies","https://h.cricapi.com/img/players/4269d64c-962d-4cd9-b2d2-1a62f51256b8.jpg","Rajasthan Royals"
"9F2DB0CF-2B7A-4722-9134-211F612102B9","Dasun Shanaka","1991-09-09T00:00:00","Batting Allrounder","Right Handed Bat","Right-arm medium","Sri Lanka","https://h.cricapi.com/img/players/9f2db0cf-2b7a-4722-9134-211f612102b9.jpg","Rajasthan Royals"
"FD2EE2DD-5051-4CED-BAAC-4C5A14253C6F","Sushant Mishra","2000-12-23T00:00:00","Bowler","Left Handed Bat","Left-arm fast-medium","India","https://h.cricapi.com/img/icon512.png","Rajasthan Royals"
"F3876B65-0643-49DF-9255-4A06DD3FA051","Tushar Deshpande","1995-05-15T00:00:00","Bowler","Left Handed Bat","Right-arm fast-medium","India","https://h.cricapi.com/img/players/f3876b65-0643-49df-9255-4a06dd3fa051.jpg","Rajasthan Royals"
"C6442879-0071-438A-A48E-4EB9C549EC13","Shubham Dubey","1994-08-27T00:00:00","Batsman","Left Handed Bat","Right-arm offbreak","India","https://h.cricapi.com/img/icon512.png","Rajasthan Royals"
"CC8D32C8-98B5-4DD5-8DDA-64F2321EAA97","Aman Rao Perala","","","","","India","https://h.cricapi.com/img/icon512.png","Rajasthan Royals"
"19758CD7-4CCE-47D8-B1FE-5975609DE802","Jofra Archer","1995-04-01T00:00:00","Bowler","Right Handed Bat","Right-arm fast","England","https://h.cricapi.com/img/players/19758cd7-4cce-47d8-b1fe-5975609de802.jpg","Rajasthan Royals"
"B51BB4E5-ACDF-423B-ABB3-7A1E6694D2C2","Riyan Parag","2001-11-10T00:00:00","Batting Allrounder","Right Handed Bat","Right-arm legbreak","India","https://h.cricapi.com/img/players/b51bb4e5-acdf-423b-abb3-7a1e6694d2c2.jpg","Rajasthan Royals"
"A0093DF7-878E-43B7-A073-8DB294D9760C","Brijesh Sharma","","","","","India","https://h.cricapi.com/img/icon512.png","Rajasthan Royals"
"A254FEED-0D7C-4F04-A2AB-7BF9CEEF156B","Yashasvi Jaiswal","2001-12-28T00:00:00","Batsman","Left Handed Bat","Right-arm legbreak","India","https://h.cricapi.com/img/players/a254feed-0d7c-4f04-a2ab-7bf9ceef156b.jpg","Rajasthan Royals"
"21D693C2-B4DD-4D24-B747-90DFC8357EF5","Dhruv Jurel","2001-01-21T00:00:00","WK-Batsman","Right Handed Bat","","India","https://h.cricapi.com/img/players/21d693c2-b4dd-4d24-b747-90dfc8357ef5.jpg","Rajasthan Royals"
"6346E651-446E-4233-90A2-AE651CBCD75A","Lhuan-dre Pretorius","2006-03-27T00:00:00","WK-Batsman","Left Handed Bat","","South Africa","https://h.cricapi.com/img/icon512.png","Rajasthan Royals"
"B43C2877-2CB4-41F5-951D-BC006EB4F6C0","Kuldeep Sen","1996-10-22T00:00:00","Bowler","Right Handed Bat","Right-arm fast","India","https://h.cricapi.com/img/icon512.png","Rajasthan Royals"
"3F18B02D-0E1A-49BE-AEC4-C2FC11503505","Sandeep Sharma","1993-05-18T00:00:00","Bowler","Right Handed Bat","Right-arm fast-medium","India","https://h.cricapi.com/img/players/3f18b02d-0e1a-49be-aec4-c2fc11503505.jpg","Rajasthan Royals"
"4C28BF05-BF2A-4A3E-BED4-C5BDF4FCD01B","Ravi Singh","2001-05-25T00:00:00","WK-Batsman","Left Handed Bat","Right-arm legbreak","India","https://h.cricapi.com/img/icon512.png","Rajasthan Royals"
"3F9CED2D-D71A-4478-93DB-D7260C7145EE","Donovan Ferreira","1998-07-21T00:00:00","WK-Batsman","Right Handed Bat","Right-arm offbreak","South Africa","https://h.cricapi.com/img/icon512.png","Rajasthan Royals"
"45613012-5C4F-4A7A-A1C4-D9827939B2BF","Sam Curran","1998-06-03T00:00:00","Bowling Allrounder","Left Handed Bat","Left-arm fast-medium","England","https://h.cricapi.com/img/players/45613012-5c4f-4a7a-a1c4-d9827939b2bf.jpg","Rajasthan Royals"
"F49539FC-C565-4779-83C1-DF3DFDAAE171","Adam Milne","1992-04-13T00:00:00","Bowler","Right Handed Bat","Right-arm fast","New Zealand","https://h.cricapi.com/img/players/f49539fc-c565-4779-83c1-df3dfdaae171.jpg","Rajasthan Royals"
